,Unnamed: 0,0,1,2,Model
0,0,1,17.410518191712505,1278.3681355158099,U Shaped Attribution
1,1,2,2.138306933248764,19.202460182612487,U Shaped Attribution
2,2,3,205.87663043331227,110.7487082344913,U Shaped Attribution
3,3,4,390.4103092755618,1005.483215800367,U Shaped Attribution
4,4,5,24.25945859855357,61.30855647250123,U Shaped Attribution
5,5,6,29.97713378303436,303.42797151812334,U Shaped Attribution
6,6,7,32.343787489058826,250.99390107499326,U Shaped Attribution
7,7,8,119.97830940903795,4876.349117868093,U Shaped Attribution
8,8,9,2.704071789469785,22.357273108660397,U Shaped Attribution
9,9,10,98.64845938310526,635.2739362660519,U Shaped Attribution
10,10,11,4.47228775030913,-17.617153047967427,U Shaped Attribution
11,11,12,22.442553886205946,144.42044935070268,U Shaped Attribution
12,12,13,21.491453524505104,106.33480128797264,U Shaped Attribution
13,13,14,10.381482592972057,-19.387312335927533,U Shaped Attribution
14,14,15,12.868463866737768,122.32658826951145,U Shaped Attribution
15,15,16,12.895216486968932,4513.506820242726,U Shaped Attribution
16,16,17,107.47568437937392,1982.3677655245253,U Shaped Attribution
17,17,18,2.253169102022797,14.96072848267705,U Shaped Attribution
18,18,19,60.635294117307026,46273.58498393249,U Shaped Attribution
19,19,20,2.4466559732066013,-2.1045948724375507,U Shaped Attribution
20,20,21,48.09216666643457,68.25453647833476,U Shaped Attribution
21,21,22,62.57453954466015,377.9931700463949,U Shaped Attribution
22,22,23,12.601094655441655,7637.816390089745,U Shaped Attribution
23,23,24,4.9508598671654145,-55.04604957274585,U Shaped Attribution
24,24,25,13.58626267497479,21.161046597370355,U Shaped Attribution
25,25,26,28.361074505701552,1006.158025596441,U Shaped Attribution
26,26,27,101.52783882738916,740.8923701198061,U Shaped Attribution
27,27,28,2.2208716093932424,-43.09401557548768,U Shaped Attribution
28,28,29,6.5473896087315175,-65.47893468001712,U Shaped Attribution
29,29,30,49.58554801146457,104.49610444136768,U Shaped Attribution
30,30,31,56.2346622367916,15.145799015237785,U Shaped Attribution
31,31,32,28.01938155705321,333.9042848019185,U Shaped Attribution
32,32,33,236.2004672889046,1004.0547868082208,U Shaped Attribution
33,33,34,5.15661867624629,7.408227358110804,U Shaped Attribution
34,34,35,353.04751772933787,8930.904231849414,U Shaped Attribution
35,35,36,13.36685453565123,59.648752456235705,U Shaped Attribution
36,36,37,11.98503579948321,283.0724205859256,U Shaped Attribution
37,37,38,7.335041979649018,8589.685672658065,U Shaped Attribution
38,38,39,1.0761288077187705,986.0039867709123,U Shaped Attribution
39,39,40,85.46167664658333,513.6181696974934,U Shaped Attribution
40,40,41,4.233183556397853,3396.701756867285,U Shaped Attribution
41,41,42,7.450230823854884,-5.809735357072773,U Shaped Attribution
42,42,43,10.496509900977014,3612.2341677379163,U Shaped Attribution
43,43,44,18.571901951868206,129.13963142379993,U Shaped Attribution
44,44,45,7.274797034938588,208.02868800163876,U Shaped Attribution
45,45,46,5.572925475680642,288.65786971766084,U Shaped Attribution
46,46,47,4.964036253772606,1260.151615003653,U Shaped Attribution
47,47,48,27.301731601739377,84.64872323301594,U Shaped Attribution
48,48,49,17.211573650509383,53.44649468501602,U Shaped Attribution
49,0,1,0.5184722811472675,1278.3681355158099,Time Decay Attribution
50,1,2,0.10383130589472347,19.202460182612487,Time Decay Attribution
51,2,3,0.7094760326411427,110.7487082344913,Time Decay Attribution
52,3,4,2.392651340329284,1005.483215800367,Time Decay Attribution
53,4,5,0.2822766624355934,61.30855647250123,Time Decay Attribution
54,5,6,0.4774503533527364,303.42797151812334,Time Decay Attribution
55,6,7,0.9200492203046696,250.99390107499326,Time Decay Attribution
56,7,8,6.214975694389522,4876.349117868093,Time Decay Attribution
57,8,9,0.25367739092999736,22.357273108660397,Time Decay Attribution
58,9,10,1.9035840917780755,635.2739362660519,Time Decay Attribution
